name,curse,wowi,repo,website,preferred
Advanced Interface Options,advancedinterfaceoptions,24947-AdvancedInterfaceOptionsClassic,Stanzilla/AdvancedInterfaceOptions,,
All The Things,all-the-things,,DFortun81/AllTheThings,,
Atlas Loot,atlaslootclassic,,Hoizame/AtlasLootClassic,,
Auctionator,auctionator-classicfix,24958-AuctionatorClassicquickfix,1010101110/Auctionator-classic,,
Better Vendor Price,better-vendor-price,25078-BetterVendorPrice,mooreatv/BetterVendorPrice,,
Buy Em All,buyemall-classic,25321-BuyEmAllClassic,,,
Class Trainer Plus,class-trainer-plus,25029-ClassTrainerPlus,fusionpit/ClassTrainerPlus,,
Classic LFG,classiclfg,25056-ClassicLFG,DomenikIrrgang/ClassicLFG,,
Classic Spell Ranks,,24984-ClassicSpellRanks,,,
Clique,clique,5108-Clique,,,
Color Picker Plus,colorpickerplus,18580-ColorPickerPlus,Jaslm/ColorPickerPlus,,
Copy Pasta,copypasta,,idlenexusgaming/CopyPasta,,
Deadly Boss Mods,deadly-boss-mods,24921-DeadlyBossMods-Classic,DeadlyBossMods/DBM-Classic,,
Deja Classic Stats,dejaclassicstats,25118-DejaClassicStats,,,
Details! Damage Meter,details,25068-DetailsDamageMeterClassic,Tercioo/Details-Damage-Meter,,
Dialog Key,dialogkey,,,,
Een's Chat Window Backup,eens-chat-window-backup,18687-EensChatWindowBackup,,,
Extended Vendor UI,extended-vendor-ui,20568-ExtendedVendorUIWarlordsCompatible,,,
Faster Looting,fasterlooting,25066-FasterLooting,cannonpalms/FasterLooting,,
Fleecing Tip,fleecing-tip,24891-FleecingTip,,,
GTFO,gtfo,17996-GTFO,,,
Handy Notes,handynotes,15716-HandyNotes,,,
idTip,idtip,17033-idTip,silverwind/idTip,,
iTip,itip,20037-iTip,,,
Kui Nameplates,kuinameplates,19390-KuiNameplates,kesava-wow/kuinameplates2,,
Leatrix Maps,leatrix-maps-classic,,,http://www.leatrix.com,
Leatrix Plus,leatrix-plus-classic,,,http://www.leatrix.com,
Mapster,mapster,8306-Mapster,Nevcairiel/Mapster,,
MBB,mbb,11047-MBBMiniMapButtonBag,vallantv/MBB,,
Memoria,memoria,,,,
Missing TradeSkills List,missing-tradeskills-list,,,,
Moncai Equipment Compare,,24976-MoncaiEquipmentCompareClassic,,,
Omni CC,omni-cc,4836-OmniCC,tullamods/OmniCC,,
OPie,opie,9094-OPie,,https://www.townlong-yak.com/addons/opie,
Postal,postal,11187-Postal,,,
Quest Completist,quest_completist,,JuneSSE/QuestCompletist-Classic,,repo
Quest Frame Fixer,questframefixer,25022-QuestFrameFixer,fusionpit/QuestFrameFixer,,
Quest Icon Desaturation,quest-icon-desaturation,25083-QuestIconDesaturation,fusionpit/QuestIconDesaturation,,
Quest Log Ex,,24980-QuestLogEx,,,
Quest XP Tracker,,25054-QuestXPTracker,,,
Questie,questie,24994-Questie,AeroScripts/QuestieDev,,
RaiderIO,raiderio,,RaiderIO/raiderio-addon,https://raider.io,
Select,select,11607-Select,,,
Sellable Item Drops,sellableitemdrops,,,,
Spy,spy-classic,,,,
Tell Me When,tellmewhen,25152-TellMeWhenClassic,ascott18/TellMeWhen,,
TomCats Tours,tomcats,,,,
TomTom,tomtom,7032-TomTom,,,
Trade Skill Master,tradeskill-master,24165-TradeSkillMaster,,https://www.tradeskillmaster.com,
Tuk UI,,,,https://www.tukui.org,
Use Spec,,23955-UseSpec,,,
Weak Auras 2,weakauras-2,24910-2.15.4,WeakAuras/WeakAuras2,https://weakauras.wtf,
What's Training?,whats-training,25031-WhatsTraining,fusionpit/WhatsTraining,,
WoW Instant Messenger,wim-3,5342-WIMWoWInstantMessenger,sylvanaar/wow-instant-messenger,,
